id,style,name,alcohol_by_volume,brewery_id,description,TRUE
1,"Light American Wheat Ale or Lager","Hocus Pocus",4.5,812,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.


Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.",1
6,"Old Ale","Winter Warmer",5.1999998093,1385,,1
8,"American-Style Stout","Oatmeal Stout",5,1099,,1
14,"American-Style Stout","Imperial Stout",7,1099,,1
17,"South German-Style Hefeweizen","Wiesen Edel Weisse",6.1999998093,1023,,1
20,"Scotch Ale","Cow Palace Scotch Ale 1998",8.6999998093,483,,1
26,"Old Ale","Winter Ale",5.9000000954,1220,,1
27,"Other Belgian-Style Ales","Full Moon Winter Ale",5.5999999046,878,"This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.",1
28,"American-Style India Pale Ale","Odell IPA",7,935,"We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.",1
30,Porter,"Cutthroat Porter",4.8000001907,935,"Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities.",1
40,"Belgian-Style Fruit Lambic","Quelque Chose",8,1307,"Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70ÂºC (160ÂºF), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts.",1
43,"American-Style Brown Ale","Maracaibo Especial",7.5,723,"A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!",1
45,"Other Belgian-Style Ales","Calabaza Blanca",4.8000001907,723,"Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.",1
57,"American-Style Imperial Stout","Obovoid Empirical Stout",8,160,,1
58,"American-Style India Pale Ale","Furious Beer",6,1221,"Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main. 


Without Golden Promise malt, made by family-owned Simpsons Malt, Furious would just be pissed off-ed. From Scotland, this malt is still produced in the tradition of turning over the barley by hand, resulting in a malt that is unsurpassed in its quality. Golden Promise is also used extensively by premium whisky distilleries such as The Macallan. This malt provides the backbone for the intense hop character. Four American hop varieties are used at a rate of over three pounds per barrel. The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end. Oh yeah, it's about 6% alcohol and around 100 IBUs.",1
59,"American-Style Brown Ale","Bender Beer",5.0999999046,1221,"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!",1
61,"American-Style Barley Wine Ale","Killer Penguin",10,160,,1
63,"Winter Warmer","Isolation Ale",6,935,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone.",1
66,"American-Style Stout","Twelve Days",5.5,670,,1
69,"American-Style Stout","God Jul - Winter Ale",8.5,923,"A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer â€“ just the way we think a Christmas beer should be.",1
70,"American-Style Pale Ale","Harvest Ale 2007",6.6999998093,1142,,1
71,"Winter Warmer","Nut Cracker Ale",5.9000000954,161,"Nutcracker Ale is Boulevardâ€™s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the â€œspicinessâ€ of freshly harvested Chinook hops.",1
74,"American-Style India Pale Ale","Warrior IPA",6.5999999046,779,,1
78,"Belgian-Style Dubbel","Petrus Dubbel Bruin Ale",6.5,266,,1
79,"American-Style Pale Ale","Petrus Speciale",5.5,266,,1
80,"South German-Style Hefeweizen","Weizengold Hefefein",5.0999999046,1202,"Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt and 40 % barley malt, top fermentation and in compliance with the Purity Law of 1516.  This fine yeast wheat beer specialty is a refreshing, natural and stimulating beer brand.",1
81,"Winter Warmer","Never Summer Ale",5.9400000572,160,,1
101,"Old Ale","Winter Ale",6.3000001907,1185,,1
103,"Scotch Ale","Robert the Bruce Scottish Ale",7,1260,"A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight.",1
104,"American-Style Stout","Lump of Coal Dark Holiday Stout",8,1056,,1
105,"American-Style Brown Ale","Warm Welcome Nut Browned Ale",6,1056,,1
106,"American-Style Pale Ale","Pendle Witches Brew",5.0999999046,884,,1
107,Porter,"Carnegie Stark-Porter",5.5,345,,1
108,"Old Ale","Harvest Ale 2002",11.5,727,,1
109,"American-Style India Pale Ale","Woody Organic IPA",6.1999998093,1075,,1
111,"Traditional German-Style Bock","Leute Bok Bier",7.5,304,,1
114,"American-Style Pale Ale","Tikka Gold",5,304,,1
121,"Old Ale","Triple Exultation Old Ale",9.6999998093,481,,1
124,"American-Style Brown Ale","Buzzsaw Brown",4.8000001907,441,"By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings. 


Buzzsaw Brown is an easy-drinking beer that is refreshing after a hard dayâ€™s work. The timber mills in Bend may be closed, but whether your adventure includes a day of scaling rock faces, hitting 18 holes or skiing the slopes in spring, Buzzsaw Brown is the perfect end to a fun-filled day.


â€œBuzzsaw Brown is one of my favorite beers,â€ says Deschutes Brewery Brewmaster Larry Sidor. â€œThe unique combination of European and American malts makes it a very food friendly beer that pairs well with a wide variety of flavors.â€",1
126,"Traditional German-Style Bock","Geist Bock",6.0999999046,584,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles.",1
128,"English-Style Pale Mild Ale","Dark Ale",4.5,397,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour. 


Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and chocolate malts, giving it a rich dark colour and unique flavour. 


Coopers Dark Ale has no additives and no preservatives.",1
129,"American-Style Amber/Red Ale","Cinder Cone Red",5.4000000954,441,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.


Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as "Red Hill" due to its reddish color that is revealed as the seasons change, the weather warms and the snow melts.  It's spring. Time to get outside.",1
130,"Traditional German-Style Bock","LTD 02 Lager",6.4000000954,562,,1
134,"Imperial or Double India Pale Ale","Blue Dot Double India Pale Ale",7,622,,1
138,"American-Style Amber/Red Ale","Odell Red Ale",6.5,935,"The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red. 


We took the American-style red to a whole new level by adding a variety of aggressive American hopsâ€”giving this ale a distinctive fresh hop aroma and flavor. 


We think you'll agree this red has some serious kick.",1
143,"American-Style Pale Ale","Silk Lady",4.4000000954,447,,1
144,"American-Style Brown Ale","Danger Ale",5.1999998093,447,,1
146,"American-Style Lager","Yeti Special Export",7,1392,,1
152,"Old Ale","Old Stock Ale 2007",11.699999809,919,,1
153,"English-Style India Pale Ale","Cold Hop",6.5,160,,1
157,"Old Ale","Biere de Mars",7,723,"A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.",1
162,"American-Style Amber/Red Ale","The Unforgiven Amber Ale",5.8000001907,1084,,1
164,"American-Style India Pale Ale","Duke IPA",5.0999999046,595,,1
165,"American-Style Stout","Broad Axe Stout",5,595,,1
166,"American-Style Lager","Northern Light Lager",4.4000000954,595,,1
167,"American-Style Stout","Podge Belgian Imperial Stout",10.5,31,,1
168,Porter,"Okocim Porter",8.3000001907,307,,1
177,"Belgian-Style Pale Ale",LuciÃ©rnaga,6.5,723,"An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a celebration!",1
179,"American-Style Imperial Stout","Beer Geek Breakfast",7.5,859,"Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the coffee, at the same time, creates a nice balance.",1
181,"Traditional German-Style Bock",Bock,5.5,39,,1
182,"American-Style Pale Ale","Double India Pale Ale",8.6000003815,810,,1
185,"American-Style Pale Ale","Certified Organic India Pale Ale",7,481,,1
186,Porter,"Certified Organic Porter",5.5,481,,1
188,"American-Style Amber/Red Ale","Certified Organic Amber Ale",4.8000001907,481,"Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness that is balanced with a liberal dose of certified organic Pacific Gems and Hallertau hops, imported from New Zealand. Pure taste, pure ingredients, pure good.",1
192,"American-Style Stout","Mephistopheles Stout",16.030000687,62,,1
193,"American-Style Brown Ale","NÃ¸gne Ã˜ Brown Ale",4.5,923,"A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8Â°C/45Â°F. Goes very well with â€˜pub grub.â€™",1
196,"American-Style Pale Ale","Export Ale",5.0999999046,1136,,1
201,"American-Style Pale Ale","Undercover Investigation Shut-Down Ale",9.279999733,765,,1
202,"Old Ale","Harvest Ale 2006",11.600000381,727,,1
204,"Belgian-Style Fruit Lambic",Gueuze-Lambic,6.5,1315,,1
205,"German-Style Schwarzbier","Schwarzbier / Dunkel",4.9000000954,484,,1
208,"Scottish-Style Light Ale","90 Shilling",5.3000001907,935,"We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. The name 90 Shilling comes from the Scottish method of taxing beer. Only the highest quality beers were taxed 90 Shillings. A shilling was a British coin used from 1549 to 1982. We think you'll find this original ale brilliantly refreshing, and worth every shilling.",1
