brewery_id,brewer,,brewery_id,website
1,"(512) Brewing Company",,1,http://512brewing.com/
2,"21st Amendment Brewery Cafe",,2,http://www.21st-amendment.com/
3,"3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij",,3,http://www.3fonteinen.be/index.htm
4,"Aass Brewery",,4,http://www.aass.no
5,"Abbaye de Leffe",,5,
6,"Abbaye de Maredsous",,6,http://www.maredsous10.be/
7,"Abbaye Notre Dame du St Remy",,7,
10,"Abita Brewing Company",,10,http://www.abita.com/
11,"Adnams & Co.",,11,http://www.adnams.co.uk
12,"Affligem Brouwerij",,12,http://www.affligembeer.be/
13,"Agassiz Brewing",,13,
15,"Aktienbrauerei Kaufbeuren",,15,http://www.aktien-brauerei.de/
17,"Alaskan Brewing",,17,http://www.alaskanbeer.com/
19,Aldaris,,19,
21,"AleSmith Brewing",,21,http://alesmith.com/
23,"Allagash Brewing",,23,http://www.allagash.com/
25,"Allentown Brew Works",,25,http://www.thebrewworks.com/allentown-brewworks/
26,"Allguer Brauhaus AG Kempten",,26,
29,"Alpine Beer Company",,29,http://www.alpinebeerco.com/
31,"Alvinne Picobrouwerij",,31,
35,"Amherst Brewing Company",,35,http://www.amherstbrewing.com/
36,"Amicas Pizza, Microbrews and More",,36,
37,"Amstel Brouwerij",,37,http://www.amstel.com
39,"Anchor Brewing",,39,
40,"Andechser Klosterbrauerei",,40,
41,"Anderson Valley Brewing",,41,http://avbc.com/
44,Anheuser-Busch,,44,http://www.anheuser-busch.com/
45,"Appalachian Brewing Company",,45,http://www.abcbrew.com
47,"Arcadia Brewing",,47,http://www.arcadiaales.com/
49,"Arthur Guinness & Son",,49,http://www.guinness.com
51,"Asheville Pizza and Brewing Co.",,51,http://www.ashevillepizza.com/
54,"Atlanta Brewing Company",,54,http://www.atlantabrewing.com/
56,"Atwater Block Brewing",,56,http://www.atwaterbeer.com
57,"August Schell Brewing",,57,http://www.schellsbrewery.com/
61,"Australian Brewing Corporation",,61,http://www.australianbrewingcorporation.com/
62,"Avery Brewing Company",,62,http://www.averybrewing.com/
63,"Back Road Brewery",,63,http://www.backroadbrewery.com/
68,"Ballast Point Brewing",,68,http://www.ballastpoint.com/
70,"Bamberger Mahr's-Bru",,70,
71,"Bandana Brewery",,71,
72,"Bar Harbor Brewing Company",,72,http://www.barharborbrewing.com/
74,"Barfer - das kleine Brauhaus",,74,
76,"Barley Creek Brewing",,76,http://www.barleycreek.com/
77,"Barley Island Brewing",,77,
82,"Baron Brewing Company",,82,http://www.baronbeer.com/
83,"Barrel House Brewing Co.",,83,http://www.barrelhouse.com
85,"Bass Brewers",,85,
87,"Bavarian Barbarian Brewing Company",,87,http://www.bavarianbarbarian.com
88,"Bayerische Staatsbrauerei Weihenstephan",,88,
93,"Beamish & Crawford",,93,
94,"Bear Republic Brewery",,94,http://www.bearrepublic.com/
95,Beck's,,95,http://www.becks.de/
98,"Belhaven Brewery",,98,
100,"Bell's Brewery Inc.",,100,http://www.bellsbeer.com/
106,"Bethlehem Brew Works",,106,http://www.thebrewworks.com/bethlehem-brew-works
110,"Bierbrouwerij De Koningshoeven",,110,http://www.latrappe.nl/
111,"Bierbrouwerij St.Christoffel",,111,http://www.christoffelbeer.com
113,"Big Boss Brewing Company",,113,http://www.bigbossbrewing.com
114,"Big Buck Brewery",,114,http://www.bigbuck.com/gaylord.html
121,"Big Rock Brewery",,121,
122,"Big Sky Brewing",,122,
123,"Big Time Brewing",,123,http://www.bigtimebrewery.com/
127,"Birra Moretti",,127,
131,"Bitburger Brauerei",,131,
133,"BJ's Restaurant and Brewery",,133,http://www.bjsrestaurants.com/beer.aspx
136,"Blacksburg Brewing Company",,136,http://www.blacksburgbrewing.com/
144,"Blue Point Brewing",,144,http://www.bluepointbrewing.com/
145,"Blue Ridge Brewing",,145,http://www.blueridgebrewing.com/
150,"Bonaventure Brewing Co",,150,http://www.bonaventurebrewing.com/
154,"Borsodi SÃ¶rgyÃ¡r",,154,http://www.borsodisorgyar.hu/
156,"BOSS Browar Witnica S.A.",,156,http://www.browar-witnica.pl/
157,"Boston Beer Company",,157,http://www.samueladams.com/
159,"Bottom's Up Brewing",,159,
160,"Boulder Beer Company",,160,http://boulderbeer.com/
161,"Boulevard Brewing Company",,161,http://www.blvdbeer.com/
164,"Brasserie Artisanale de Rulles",,164,
167,"Brasserie D'Achouffe",,167,
169,"Brasserie d'Orval",,169,
171,"Brasserie de Brunehaut",,171,http://www.brunehaut.com/
172,"Brasserie de Cazeau",,172,
175,"Brasserie de l'Abbaye Val-Dieu",,175,
179,"Brasserie de Silly",,179,
180,"Brasserie de Tahiti",,180,
191,"Brasserie Ellezelloise",,191,
193,"Brasserie Grain D'Orge",,193,
198,"Brasserie McAuslan",,198,http://www.mcauslan.com
202,"Brasserie-Brouwerij Cantillon",,202,http://www.cantillon.be/
204,"Brauerei & Gasthof zur Krone",,204,
205,"Brauerei Aying Franz Inselkammer KG",,205,
208,"Brauerei Fssla",,208,
209,"Brauerei Gbr. Maisel KG",,209,http://www.maisel.com/
216,"Brauerei Leibinger",,216,
220,"Brauerei Schumacher",,220,
221,"Brauerei Schwelm",,221,
226,"Brauhaus am WaldschlÃ¶sschen",,226,http://www.waldschloesschen.de
227,"Brauhaus Brew Hall",,227,http://www.braubrothersbrewing.com/
230,"Brauhaus Johann Albrecht - Konstanz",,230,
233,"Brauhaus Sternen",,233,
235,"Breckenridge BBQ of Omaha",,235,
236,"Breckenridge Brewery",,236,http://www.breckbrew.com/
241,"BrewDog Ltd",,241,http://brewdog.com/
242,"Brewer's Art",,242,http://www.belgianbeer.com
245,"Brewery Budweiser Budvar",,245,http://www.budvar.cz/
247,"Brewery Creek Brewing",,247,http://www.brewerycreek.com/
249,"Brewery Ommegang",,249,
251,Brewpub-on-the-Green,,251,
252,Breznak,,252,http://drinksunion.qbizm.cz/de/pages/vyrobky_p_breznak.htm
255,"BridgePort Brewing",,255,http://www.bridgeportbrew.com/
259,"Brooklyn Brewery",,259,http://www.brooklynbrewery.com/
260,"Broughton Ales",,260,http://www.broughtonales.co.uk/
262,"Brouwerij Abdij der Trappisten van Westmalle",,262,http://www.trappistwestmalle.be
263,"Brouwerij Abdij Saint Sixtus",,263,
265,"Brouwerij Artois",,265,
266,"Brouwerij Bavik - De Brabandere",,266,
268,"Brouwerij Boon",,268,
269,"Brouwerij Bosteels",,269,
272,"Brouwerij De Dolle Brouwers",,272,http://www.dedollebrouwers.be/
274,"Brouwerij De Keersmaeker",,274,
280,"Brouwerij der Sint-Benedictusabdij de Achelse Kluis",,280,http://www.achelsekluis.org/
281,"Brouwerij Duvel Moortgat",,281,
283,"Brouwerij Girardin",,283,
284,"Brouwerij Het Anker",,284,http://www.hetanker.be/
285,"Brouwerij Huyghe",,285,
287,"Brouwerij Liefmans",,287,http://www.liefmans.be/
289,"Brouwerij Nacional Balashi",,289,http://www.balashi.com/balashi/
296,"Brouwerij St. Bernardus",,296,http://www.sintbernardus.be
299,"Brouwerij The Musketiers",,299,
301,"Brouwerij Van Eecke",,301,
302,"Brouwerij van Hoegaarden",,302,
303,"Brouwerij Van Honsebrouck",,303,
304,"Brouwerij Van Steenberge",,304,
306,"Browar NamysÅ‚Ã³w Sp. z o.o.",,306,
307,"Browar Okocim",,307,http://www.okocim.pl/
308,"Browar Warka",,308,http://www.warka.com.pl/
309,"Browar Zywiec",,309,http://www.zywiec.com.pl/
312,"Bryggeriet lfabrikken",,312,
314,"Bube's Brewery",,314,http://www.bubesbrewery.com
319,"Bullfrog Brewery",,319,http://www.bullfrogbrewery.com
320,"Bulmer Cider",,320,
321,"BÃ¼rgerbrÃ¤u Wolnzach",,321,
322,"Burton Bridge Brewery",,322,http://www.burtonbridgebrewery.co.uk/Index.shtml
325,"Buzzards Bay Brewing Inc.",,325,http://www.buzzardsbrew.com/
328,"Caldera Brewing",,328,http://www.calderabrewing.com
333,"Cambridge Brewing",,333,http://www.cambrew.com/
334,"Cameron's Brewing",,334,
339,"Capital City Brewing Company",,339,http://www.capcitybrew.com
341,"Captain Lawrence Brewing Company",,341,http://www.captainlawrencebrewing.com/
343,"Carlow Brewing Company",,343,http://www.carlowbrewing.com
344,"Carlsberg Bryggerierne",,344,
345,"Carlsberg Sverige AB",,345,
347,"Carlyle Brewing",,347,
349,"Carolina Beer Company",,349,http://www.carolinabeer.com/
353,"Cat's Paw Home Brew",,353,
357,"Central City Brewing Company",,357,http://www.centralcitybrewing.com/
358,"Central Waters Brewing Company",,358,http://www.centralwaters.com/
360,"Cervecera Cuauhtmoc-Moctezuma",,360,http://www.ccm.com.mx/
363,"Cervecera Jerome",,363,
364,"Cervecera Nacional",,364,
366,"CervecerÃ­a La Constancia",,366,http://www.laconstancia.com/
367,"Cervejaria de Macau",,367,
368,"Cervejaria Kaiser Brasil",,368,
369,"Cervejaria Sudbrack",,369,http://www.eisenbahn.com.br/
370,"Cervezas Alhambra",,370,
371,"Chama River Brewing",,371,
374,"Chelsea Brewing Company",,374,http://chelseabrewingco.com/
376,"Cheshire Cat Brewery",,376,
378,"Chimay (Abbaye Notre Dame de Scourmont)",,378,http://www.chimay.com
379,"Cigar City Brewing",,379,http://cigarcitybeer.com/
381,"City Brewing Company, LLC",,381,http://www.citybrewery.com/
384,"Climax Brewing Copmany",,384,http://www.climaxbrewing.com/
385,"Clipper City Brewing Co.",,385,http://www.ccbeer.com/
391,"Coeur d'Alene Brewing Company",,391,http://www.cdabrewing.com/
392,"Cold Spring Brewing",,392,http://www.coldspringbrewery.com/
397,"Coopers Brewery",,397,http://www.coopers.com.au/
398,"Cooperstown Brewing Company",,398,http://www.cooperstownbrewing.com/
399,"Coors Brewing - Golden Brewery",,399,http://www.coors.com
402,"Copper Kettle Brewery",,402,http://www.ckbrewery.com/
404,"Coronado Brewing Company",,404,http://www.coronadobrewingcompany.com/
405,"Costal Extreme Brewing Company",,405,http://www.newportstorm.com/
409,"Crabby Larry's Brewpub Steak & Crab House",,409,http://www.crabbylarrys.com/
415,"Cricket Hill",,415,http://www.crickethillbrewery.com
420,"Cucapa Brewing Company",,420,http://www.cucapa.com/
423,"D.L. Geary Brewing Company",,423,http://www.gearybrewing.com
424,Daas,,424,http://www.daasbeer.com/
425,"Daleside Brewery",,425,
426,"Dark Horse Brewing Co.",,426,http://www.darkhorsebrewery.com/
428,"de dochter van de korenaar",,428,http://www.dedochtervandekorenaar.be
430,"De Halve Maan",,430,http://www.halvemaan.be/
431,"De Leyerth Brouwerijen",,431,
433,"De Struise Brouwers",,433,http://www.struisebrouwers.be/
440,"Denver ChopHouse and Brewery",,440,
441,"Deschutes Brewery",,441,http://www.deschutesbrewery.com/
442,"Desnoes & Geddes Ltd",,442,
444,"Diamond Bear Brewing Co.",,444,http://www.diamondbear.com/
445,"Diamond Knot Brewery & Alehouse",,445,http://www.diamondknot.com/
447,"Dick's Brewing",,447,
448,"Diebels Privatbrauerei",,448,
451,"Dinkelacker-Schwaben Bru",,451,
454,"Dixie Brewing",,454,
456,"Dock Street Beer",,456,http://www.dockstreetbeer.com
457,"Dockside Brewing",,457,
459,"Dogfish Head Craft Brewery",,459,http://www.dogfish.com
460,"Dortmunder Actien Brauerei  DAB",,460,
462,"Double Mountain Brewery & Taproom",,462,http://www.doublemountainbrewery.com/
463,"Dragonmead Microbrewery",,463,
465,"Dreher Srgyrak Zrt.",,465,
469,"Duck-Rabbit Craft Brewery",,469,http://www.duckrabbitbrewery.com/
470,DuClaw,,470,http://www.duclaw.com/
473,"Duvel Moortgat",,473,
474,"Dux de Lux",,474,http://www.thedux.co.nz/
476,"East End Brewing Company",,476,http://www.eastendbrewing.com/
480,"Eder & Heylands",,480,http://www.eder-heylands.de
481,"Eel River Brewing",,481,http://eelriverbrewing.com/
483,"Egan Brewing",,483,
484,"Einbecker Brauhaus AG",,484,
491,"Elk Grove Brewery & Restaurant",,491,
494,"Elliott Bay Brewery and Pub",,494,
495,"Elm City Brewing Co",,495,http://www.elmcitybrewing.com/
496,"Elysian Brewery & Public House",,496,http://www.elysianbrewing.com/
497,"Elysian Brewing - TangleTown",,497,
498,"Emerson Brewing",,498,
503,"Engel Brauerei Schwbisch Gmnd Lang",,503,
504,"Engine House #9",,504,
506,"Epic Brewing Company",,506,http://epicbeer.com/
507,"Erie Brewing Company",,507,http://www.eriebrewingco.com
509,"Estes Park Brewery",,509,http://www.epbrewery.net/
511,"Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie",,511,
512,"F.X. Matt Brewing",,512,http://www.saranac.com
520,"Fifty Fifty Brewing Co.",,520,http://www.fiftyfiftybrewing.com/
524,"Firestone Walker Brewing Company",,524,http://www.firestonewalker.com/
526,"Fish Brewing Company & Fish Tail Brewpub",,526,http://www.fishbrewing.com/
527,"Fitger's Brewhouse, Brewery and Grill",,527,
530,"Flat Branch Pub & Brewing",,530,http://www.flatbranch.com
531,"Flat Earth Brewing Company",,531,http://flatearthbrewing.com/
534,"Flensburger Brauerei",,534,http://www.flens.co.uk/
536,"Flossmoor Station Brewery",,536,
537,"Flour City Brewing",,537,
538,"Flyers Restraunt and Brewery",,538,http://www.eatatflyers.com/
539,"Flying Bison Brewing",,539,http://www.flyingbisonbrewing.com
540,"Flying Dog Brewery",,540,http://www.flyingdogales.com/
541,"Flying Fish Brewing Company",,541,http://www.flyingfish.com/
543,"Foothills Brewing Company",,543,http://www.foothillsbrewing.com/
546,"Foster's Australia Ltd.",,546,http://www.fostersbeer.com/
549,"Founders Brewing",,549,http://www.foundersbrewing.com/
550,"Founders Hill Brewing",,550,
551,"Four Peaks Brewing",,551,http://www.fourpeaks.com/
557,"Freeminer Brewery",,557,
562,"Full Sail Brewing #1",,562,
563,"Fuller, Smith & Turner PBC",,563,http://www.fullers.co.uk/
566,"Gaslight Brewery",,566,
572,"George Gale & Company",,572,
575,"Glacier Brewhouse",,575,http://www.glacierbrewhouse.com/
579,"Gold Crown Brewing",,579,
584,"Golden Valley Brewery and Pub",,584,http://www.goldenvalleybrewery.com/
585,"Goose Island Beer Company - Clybourn",,585,
586,"Goose Island Beer Company - Fulton Street",,586,
587,"Gordash Brewing Company",,587,http://holymackerelbeers.com/
588,"Gordon Biersch Brewing",,588,http://www.gordonbiersch.com/brewery
590,"Gottberg Brew Pub",,590,
592,"Grand Lake Brewing",,592,
595,"Granite City Food & Brewery - Omaha",,595,
597,"Granville Island Brewing",,597,
598,"Granville Island Brewing Company",,598,
601,"Great Bear Brewing",,601,
604,"Great Divide Brewing",,604,http://www.greatdivide.com/
605,"Great Lakes Brewing",,605,http://www.greatlakesbrewing.com
609,"Green Flash Brewing",,609,http://www.greenflashbrew.com
611,"Green Mountain Beverage",,611,http://www.gmbeverage.com/
612,"Greene King",,612,
616,"Grolsche Bierbrouwerij",,616,http://www.grolsch.com
618,"Grupo Modelo",,618,http://www.gmodelo.com.mx/
619,"Gulpener Bierbrouwerij",,619,
622,"Hair of the Dog Brewing",,622,
624,"Half Moon Bay Brewing",,624,
626,"Hambleton Ales",,626,
627,"Hampshire Brewery",,627,
633,"Harmon Brewing Company",,633,http://harmon.harmonbrewingco.com/
634,"Harpoon Brewery - Boston",,634,http://www.harpoonbrewery.com
635,"Harpoon Brewery - Windsor",,635,http://www.harpoonbrewery.com/
637,"Harvey & Son (Lewes)",,637,
638,"Harviestoun Brewery",,638,
641,"Hawks Brewing",,641,
643,"Heartland Brewery Union Square",,643,http://www.heartlandbrewery.com/
646,"Heineken HungÃ¡ria",,646,http://www.heinekenhungaria.hu/
647,"Heineken International",,647,http://www.heineken.com/
650,"Heller Bru Trum",,650,
652,"Hereford & Hops Steakhouse and Brewpub #3",,652,
656,"High Falls Brewing",,656,
657,"High Point Wheat Beer Company",,657,http://www.ramsteinbeer.com/
658,"Highland Brewing Company",,658,http://www.highlandbrewing.com/
659,"Hirschbru Privatbrauerei Hss",,659,
660,"Hite Brewery",,660,
662,"Hoepfner Privatbrauerei",,662,
670,"Hook Norton Brewery",,670,
671,"Hop Back Brewery",,671,
673,"Hoppin Frog Brewery",,673,http://www.hoppinfrog.com/
674,"Hoppy Brewing Company",,674,http://www.hoppy.com
678,"Hopworks Urban Brewery",,678,http://hopworksbeer.com/
686,"Humboldt Brewing",,686,http://www.humboldtbrews.com/
690,InBev,,690,http://www.inbev.com
691,"Independence Brew Pub",,691,http://www.independencebrewpub.com/
692,"Independence Brewing Co",,692,http://www.independencebrewing.com/
696,"Inveralmond Brewery",,696,
698,"Iron City Brewing Co.",,698,http://www.ironcitybrewingcompany.com/Default.aspx
700,"Iron Hill Brewery - Wilmingon",,700,http://www.ironhillbrewery.com/
701,"Iron Springs Pub & Brewery",,701,
703,"Isle of Skye Brewing Company",,703,
705,"Ithaca Beer Company",,705,
707,"Jack's Brewing",,707,
708,"Jacob Leinenkugel Brewing Company",,708,http://www.leinie.com/welcome.html
713,"Jennings Brewery",,713,http://www.jenningsbrewery.co.uk/
714,"Jever Brewery",,714,http://www.jever.de/
718,"JoBoy's Brew Pub",,718,http://www.joboysbrewpub.com/
722,"John Martin sa",,722,http://www.anthonymartin.be/
723,"Jolly Pumpkin Artisan Ales",,723,http://www.jollypumpkin.com
727,"JW Lees and Co (Brewers) Ltd.",,727,
731,"Karl Strauss Brewery Gardens - Sorrento Mesa",,731,
733,"Keesmann Bru",,733,
739,"Kessler Brewing",,739,
741,"Kirin Brewery Company, Ltd",,741,http://www.kirin.com/
742,"Kiuchi Shuzou Goushi Kaisya",,742,
744,"Klosterbrauerei Neuzelle",,744,
745,"Klosterbrauerei Weltenburg",,745,http://www.weltenburger.de/
746,"Klosterbru Bamberg",,746,
751,"Kona Brewing",,751,http://www.konabrewingco.com
752,"KÃ¶stritzer Schwarzbierbrauerei",,752,
755,"Kross Brewing",,755,
756,"Kuhnhenn Brewing",,756,http://www.kbrewery.com/
757,"Kulmbacher Brauerei AG",,757,
762,"Labatt Ontario Breweries",,762,
765,"Lagunitas Brewing Company",,765,http://www.lagunitas.com/
767,"Lake Placid Pub & Brewery",,767,http://www.ubuale.com/
771,"Lancaster Brewing Co.",,771,http://www.lancasterbrewing.com/index.html
772,"Lanchester Brewing",,772,
774,"Latrobe Brewing",,774,
778,"Left Coast Brewing",,778,
779,"Left Hand Brewing Company",,779,http://www.lefthandbrewing.com/
780,"Legacy Brewing Co.",,780,http://www.legacybrewing.com
783,"Lewis & Clark Brewing Company",,783,http://lewisandclarkbrewing.com/
784,"Liberty Steakhouse and Brewery",,784,http://www.libertysteakhouseandbrewery.com/
787,"Lift Bridge Brewery",,787,http://www.liftbridgebrewery.com/
791,"Lion Brewery Ceylon Ltd.",,791,http://www.lionbeer.com/
792,"Lion Brewery Inc.",,792,http://www.lionbrewery.com/
793,"Lion Nathan Australia  Hunter Street",,793,
796,"Little Creatures Brewery",,796,http://www.littlecreatures.com.au/
797,"Live Oak Brewing",,797,http://www.liveoakbrewing.com/
