brewery_id,address,city,state,zip,country,"SUBSTR(coordinates, 1, INSTR(coordinates,',')-1)","SUBSTR(coordinates, INSTR(coordinates,' ')+1)"
1,"407 Radam, F200",Austin,Texas,,"United States",30.2234,-97.7697
2,"563 Second Street","San Francisco",California,,"United States",37.7825,-122.393
3,"Hoogstraat 2A",Beersel,"Vlaams Brabant",,Belgium,50.7668,4.3081
4,"Ole Steensgt. 10 Postboks 1530",Drammen,,,Norway,59.7451,10.2135
5,Dinant,Dinant,Namur,,Belgium,50.2606,4.9122
6,"Rue de Maredsous, 11",Dene,Namur,,Belgium,50.3093,4.7646
7,"Rue de l'Abbaye 8",Rochefort,Namur,,Belgium,50.1999,5.2277
10,"PO Box 1510","Abita Springs",Louisiana,,"United States",30.5049,-89.944
11,"IP18 6JW",Southwold,Suffolk,,"United Kingdom",52.3277,1.6802
12,,Opwijk,,,Belgium,50.9699,4.1892
13,"PO Box 42008",Winnipeg,Manitoba,,Canada,49.7652,-97.1539
15,"Hohe Buchleuthe 3",Kaufbeuren,Bayern,,Germany,47.8781,10.6161
17,"5429 Shaune Drive",Juneau,Alaska,,"United States",58.3573,-134.49
19,"Tvaika iela 44",Rga,,,Latvia,,
21,"9368 Cabot Drive","San Diego",California,,"United States",32.892,-117.144
23,"100 Industrial Way",Portland,Maine,,"United States",43.7028,-70.3166
25,"814 W Hamilton St",Allentown,Pennsylvania,,"United States",40.6016,-75.474
26,"Beethovenstrae 7",Kempten,Bayern,,Germany,47.7237,10.3141
26,"Beethovenstrae 7",Kempten,Bayern,,Germany,47.7487,10.5694
29,"2351 Alpine Boulevard",Alpine,California,,"United States",32.8355,-116.765
31,"Oostrozebekestraat 114",Ingelmunster,West-Vlaanderen,,Belgium,50.919,3.2632
35,"24 North Pleasant Street",Amherst,Massachusetts,,"United States",42.3763,-72.5199
36,"136 East Second Street",Salida,Colorado,,"United States",38.535,-105.992
37,"Antwoordnummer 7181",Amsterdam,,,Netherlands,52.3738,4.8909
39,"1705 Mariposa Street","San Francisco",California,,"United States",37.7635,-122.401
40,"Bergstrae 2",Andechs,Bayern,,Germany,47.9775,11.185
41,"17700 Boonville Rd",Boonville,California,,"United States",39.0014,-123.356
44,"One Busch Place","Saint Louis",Missouri,,"United States",38.5983,-90.209
45,"50 N. Cameron St.",Harrisburg,Pennsylvania,,"United States",40.2659,-76.8753
47,"103 West Michigan Avenue","Battle Creek",Michigan,,"United States",42.322,-85.1851
49,"St. James's Gate",Dublin,,,Ireland,53.3433,-6.2846
51,"675 Merrimon Avenue",Asheville,"North Carolina",,"United States",35.6221,-82.5536
54,"2323 Defoor Hills Rd NW",Atlanta,Georgia,,"United States",33.818,-84.4353
56,"237 Joseph Campau Street",Detroit,Michigan,,"United States",42.3372,-83.0186
57,"1860 Schell Road","New Ulm",Minnesota,,"United States",44.2896,-94.449
61,"229-255 Old Melbourne Road","Little River",Victoria,,Australia,-37.968,144.525
62,"5763 Arapahoe Avenue",Boulder,Colorado,,"United States",40.0166,-105.219
63,"310 Perry Street",LaPorte,Indiana,,"United States",41.6124,-86.7268
68,"5401 Linda Vista Road #406","San Diego",California,,"United States",32.7668,-117.195
70,"Wunderburg 10",Bamberg,Bayern,,Germany,49.8901,10.9067
71,,Mankato,Minnesota,,"United States",44.1636,-93.9994
72,"8 Mt. Desert Street","Bar Harbor",Maine,,"United States",44.3875,-68.2046
74,"Lautenberg 1",Ulm,Baden-Wrttemberg,,Germany,48.3979,9.9899
76,"RR 1 Box 185",Tannersville,Pennsylvania,,"United States",41.0523,-75.3354
77,"639 Conner Street",Noblesville,Indiana,,"United States",40.0453,-86.0155
82,"1605 S 93rd Building E Unit L",Seattle,Washington,,"United States",47.5203,-122.312
83,"544B W. Liberty St.",Cincinnati,Ohio,,"United States",39.1136,-84.526
85,"137 High Street",Burton-upon-Trent,Staffordshire,,"United Kingdom",52.8046,-1.6281
87,"429 W. 3rd St",Williamsport,Pennsylvania,,"United States",41.238,-77.0103
88,"Alte Akademie 2",Freising,Bayern,,Germany,48.3952,11.7288
93,"South Main Street",Cork,,,Ireland,51.897,-8.4769
94,"345 Healdsburg Avenue",Healdsburg,California,,"United States",38.6112,-122.871
95,,,,,Germany,,
98,"Spott Road","East Lothian",Scotland,,"United Kingdom",55.997,-2.5098
100,"8938 Krum Ave.",Galesburg,Michigan,,"United States",42.2843,-85.4538
106,"569 Main St",Bethlehem,Pennsylvania,,"United States",40.622,-75.382
110,"Eindhovenseweg 3",Berkel-Enschot,,,Netherlands,51.544,5.1285
111,"Metaalweg 10",Roermond,,,Netherlands,51.1684,6.0515
113,"1249-A Wicker Drive",Raleigh,"North Carolina",,"United States",35.8104,-78.6179
114,"550 South Wisconsin Avenue",Gaylord,Michigan,,"United States",45.0223,-84.6826
121,"5555 76th Avenue SE",Calgary,Alberta,,Canada,50.9847,-113.956
122,"5417 Trumpeter Way",Missoula,Montana,,"United States",46.9223,-114.073
123,"4133 University Way NE",Seattle,Washington,,"United States",47.6576,-122.313
127,"Viale Venezia 9",Udine,,,Italy,46.0597,13.2269
131,"R̦mermauer 3",Bitburg,Rheinland-Pfalz,,Germany,49.974,6.5227
133,"600 Brea Mall",Brea,California,,"United States",33.9132,-117.889
136,"P.O. Box 315",Blacksburg,Virginia,,"United States",37.23,-80.41
144,"161 River Avenue",Patchogue,"New York",,"United States",40.7591,-73.0215
145,"217 North Main Street",Greenville,"South Carolina",,"United States",34.8531,-82.3983
150,"404 South Figueroa Street #418","Los Angeles",California,,"United States",34.0532,-118.256
154,,B̦cs,,,Hungary,,
156,"Ul. Marii Konopnickiej 1",Witnica,,,Poland,52.6739,14.9004
157,"30 Germania Street",Boston,Massachusetts,,"United States",42.3144,-71.1034
159,"402 West Pine Street",Pinedale,Wyoming,,"United States",42.8666,-109.866
160,"2880 Wilderness Place",Boulder,Colorado,,"United States",40.0267,-105.248
161,"2501 Southwest Boulevard","Kansas City",Missouri,,"United States",39.0821,-94.5965
164,"Rue Maurice Grevisse 36",Habay-Rulles,Luxembourg,,Belgium,49.7185,5.5571
167,"Rue du Village 32",Houffalize-Achouffe,Luxembourg,,Belgium,50.1507,5.7442
169,"Abbaye de Notre-Dame d'Orval",Villers-devant-Orval,Luxembourg,,Belgium,,
171,"Rue de Panneries 17",Brunehaut,Hainaut,,Belgium,50.5109,3.3883
172,,,,,Belgium,,
175,"Val Dieu 225",Aubel,Lige,,Belgium,50.7046,5.822
179,"Rue Ville Basse 141",Silly,Hainaut,,Belgium,50.6493,3.9242
180,"BP 597",Tahiti,,,"French Polynesia",-17.6797,-149.407
191,"Rue Guinaumont 75",Ellezelles,Hainaut,,Belgium,50.7428,3.6875
193,,Ronchin,,,France,50.6054,3.0775
198,"5080 Rue St-Ambroise",Montreal,Quebec,,Canada,45.4682,-73.5913
202,"Gheudestraat 56",Anderlecht,Brussel,,Belgium,50.8416,4.3355
204,"Brenplatz 7",Tettnang,Baden-Wrttemberg,,Germany,47.6715,9.5888
205,"Zornedinger Strae 2",Aying,Bayern,,Germany,47.9706,11.7808
208,"Obere Knigsstrae 19-21",Bamberg,Bayern,,Germany,49.8942,10.8855
209,"Hindenburgstrasse 9",Bayreuth,,,Germany,49.9477,11.5659
216,"Friedhofstrae 20-36",Ravensburg,Baden-Wrttemberg,,Germany,47.7818,9.6215
220,"Oststrae 123",Dsseldorf,Nordrhein-Westfalen,,Germany,51.2216,6.7853
221,"Neumarkt 1",Schwelm,Nordrhein-Westfalen,,Germany,51.2847,7.2936
226,"Am Brauhaus 8b",Dresden,Sachsen,,Germany,,
227,"111 Main Street",Lucan,Minnesota,,"United States",44.4105,-95.4107
230,"Konradigasse 2",Konstanz,Baden-Wrttemberg,,Germany,47.6651,9.175
233,"Hohenzornstrasse 2",Frauenfeld,,,Switzerland,47.5585,8.9006
235,,Omaha,Nebraska,,"United States",41.254,-95.9993
236,"471 Kalamath Street",Denver,Colorado,,"United States",39.7236,-105.001
241,"AB43 8UE",Fraserburgh,,,"United Kingdom",57.683,-2.003
242,"1106 N. Charles St.",Baltimore,Maryland,,"United States",39.3028,-76.6164
245,,,"Ceske Budejovice",,"Czech Republic",48.9739,14.475
247,"23 Commerce Street","Mineral Point",Wisconsin,,"United States",42.8606,-90.1772
249,"656 County Highway 33",Cooperstown,"New York",,"United States",42.6818,-74.9255
251,,Fremont,California,,"United States",37.5483,-121.989
252,,,,,"Czech Republic",,
255,"1313 NW Marshall Street",Portland,Oregon,,"United States",45.5311,-122.685
259,"79 North Eleventh Street",Brooklyn,"New York",,"United States",40.7215,-73.9575
260,Broughton,"The Borders",Scotland,,"United Kingdom",55.6145,-3.4107
262,"Antwerpsesteenweg 476",Westmalle,Antwerpen,,Belgium,51.2974,4.6881
